backbone,model_name,method,budget,n,mean_final_average_accuracy,std_final_average_accuracy,mean_average_forgetting,std_average_forgetting,mean_runtime_seconds,std_runtime_seconds
DistilBERT,distilbert-base-uncased,class_balanced_replay,16,10,0.648736548503088,0.03161490925874525,0.02224845375875982,0.026160846330260175,6.804420328140258,1.2886501948661298
DistilBERT,distilbert-base-uncased,class_balanced_replay,64,10,0.6597954638336608,0.020860614147398798,0.012810824352304106,0.010236301867249694,6.958541131019592,0.9268630697744553
DistilBERT,distilbert-base-uncased,class_balanced_replay,256,10,0.6633891647532207,0.02349833362432091,0.031329243020162344,0.03149052786218056,9.281833243370055,1.4603663739371482
DistilBERT,distilbert-base-uncased,hard_example_replay,16,10,0.5245500084058894,0.05550160157920033,0.17723514166873128,0.07368820109717686,8.62217891216278,1.4110512140240075
DistilBERT,distilbert-base-uncased,hard_example_replay,64,10,0.5406379060818822,0.06346516182095975,0.14252411808210047,0.06195036851641992,8.518370389938354,0.9409254261075654
DistilBERT,distilbert-base-uncased,hard_example_replay,256,10,0.6070347063690097,0.038248715661357166,0.08049594471136831,0.04072171564588335,10.901403450965882,1.3643896356375067
DistilBERT,distilbert-base-uncased,no_replay,0,10,0.6425512655564256,0.03021252369379385,0.0159740333595833,0.01716227870400788,7.060536742210388,1.443160192911156
DistilBERT,distilbert-base-uncased,random_replay,16,10,0.6116214221050558,0.04882444644080694,0.05250760493351973,0.04228810716533389,6.632833552360535,0.9500621129659027
DistilBERT,distilbert-base-uncased,random_replay,64,10,0.6305807294431762,0.047792979212548124,0.05061550097626295,0.039195725621920835,7.157619619369507,1.0004879948457128
DistilBERT,distilbert-base-uncased,random_replay,256,10,0.6773988030455864,0.024887093529730352,0.020048096987742146,0.025349780061951193,9.29354956150055,1.3950663719648317
BERT-base,bert-base-uncased,class_balanced_replay,16,10,0.6255971188537464,0.018827457026746184,0.024985294301986736,0.01790965469249149,12.272536683082581,1.4954143231843668
BERT-base,bert-base-uncased,class_balanced_replay,64,10,0.6523545580658934,0.01997588710639676,0.021670613379226537,0.02064935612982274,13.065704131126404,1.6775087113855431
BERT-base,bert-base-uncased,class_balanced_replay,256,10,0.6773867368613736,0.01647371350265837,0.013546869654149262,0.016310130769110934,15.951137661933899,1.7523597356432548
BERT-base,bert-base-uncased,hard_example_replay,16,10,0.5364631722499469,0.0436532786931397,0.12711221475277837,0.05224681180064143,14.579410672187805,1.479209688164155
BERT-base,bert-base-uncased,hard_example_replay,64,10,0.5349980727286402,0.047964031982967274,0.14408223079770416,0.0658135046308924,14.975606727600098,1.5594370817403045
BERT-base,bert-base-uncased,hard_example_replay,256,10,0.6385873149321778,0.049710269084152325,0.055684524204537414,0.05473568858332886,18.713128161430358,1.5114851956865174
BERT-base,bert-base-uncased,no_replay,0,10,0.6449555953360586,0.015209921245029238,0.012889523570408918,0.012793157766800092,11.752009415626526,1.8723411472148408
BERT-base,bert-base-uncased,random_replay,16,10,0.6006182338120266,0.043631552914213535,0.05252785464742454,0.037137265438863934,11.683758211135864,1.3397115316298984
BERT-base,bert-base-uncased,random_replay,64,10,0.6534916585372867,0.03813055435103922,0.0249354212014228,0.02646402525560786,12.86255784034729,1.4602024607664692
BERT-base,bert-base-uncased,random_replay,256,10,0.6695965788306524,0.017636525758267727,0.017445547901772027,0.014722457349388499,15.304642033576965,1.9462088330170626
