method,budget,n,mean_final_average_accuracy,std_final_average_accuracy,mean_average_forgetting,std_average_forgetting,mean_runtime_seconds,std_runtime_seconds
class_balanced_replay,16,6,0.6350177440767975,0.0278376694572889,0.033706111179931254,0.02829482735274921,7.0291686455408735,0.5024655501330156
class_balanced_replay,64,6,0.6580476229582537,0.02162825684616215,0.014360383706731794,0.011173625022997503,7.343167106310527,0.07616150739935307
class_balanced_replay,256,6,0.6655375112355036,0.02089654359913798,0.02912624558322127,0.02846181374616344,10.02794082959493,0.8182849129598541
hard_example_replay,16,6,0.5338733149509804,0.052488731604164306,0.17087366685543048,0.08285000080529609,8.818378369013468,0.777277668218806
hard_example_replay,64,6,0.5565752247377215,0.059833899140936175,0.1278305665176219,0.056690523299278414,9.550169865290323,0.8708529939262593
hard_example_replay,256,6,0.6007208280612185,0.03433599986990048,0.0830182200111292,0.05122542759027947,11.94300365447998,0.8163963536861638
no_replay,0,6,0.6253770092103478,0.02237533250256938,0.020849801011459532,0.01846870875075438,7.182633558909099,1.0226864266629374
random_replay,16,6,0.6426295154465591,0.024600728101261335,0.022937678317917622,0.02174100843026893,7.274990955988566,0.7683667803434379
random_replay,64,6,0.657895922922418,0.03186426892773117,0.029513497167067786,0.03388413036691516,7.6282955805460615,0.46395644601269503
random_replay,256,6,0.6873283221512883,0.021887587375286992,0.01390508005749431,0.018348984419577292,9.862839857737223,0.8337595128901499
